"All", "Wszystko"
"Invalid Credit Card Number", "Nieprawidłowy numer karty kredytowej"
"This credit card type is not allowed for this payment method.", "Ten typ karty kredytowa nie jest dozwolony w tej metodzie płatności."
"Please enter a valid credit card verification number.", "Prosimy o wprowadzenie poprawnego weryfikacyjnego numeru karty kredytowej."
"Please enter a valid credit card expiration date.", "Wprowadź datę wygaśnięcia karty kredytowej."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface", "Klasa %1 nie implementuje \Magento\Payment\Model\MethodInterface"
"Please provide payment for the order.", "Proszę podać płatność za zamówienie."
"Failure #1", "Niepowodzenie #1"
"Failure #2", "Niepowodzenie #2"
"Visa", "Visa"
"American Express", "American Express"
" is not available. You still can process offline actions.", " nie jest dostępny. Nadal można przetwarzać działań offline."
"We'll ask for your payment details before you place an order.", "Będziemy prosić o szczegóły płatności zanim złożysz zamówienie."
"Please enter a valid credit card type number.", "Proszę podać poprawny numer karty kredytowej."
"Please enter a valid credit card number.", "Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Incorrect credit card expiration month.", "Niepoprawny miesiąc wygaśnięcia karty kredytowej."
"Incorrect credit card expiration year.", "Niepoprawny rok wygaśnięcia karty kredytowej."
"Payment Methods Section", "Sekcja Metod Płatności"
"Payment Services", "Usługi płatności"
"Zero Subtotal Checkout", "Zerowa suma częściowa w kasie"
"Automatically Invoice All Items", "Automatycznie wystawiaj faktury na wszystkie przedmioty"
"Billing Agreements", "Umowy rozliczeniowe"
"Reference ID", "ID referencji"
"Billing Agreement #%1", "Umowa rozliczeniowa nr %1"
"Related Orders", "Powiązane zamówienia"
"Billing Agreement View", "Widok umowy rozliczeniowej"
"Are you sure you want to authorize full order amount?", "Czy na pewno chcesz autoryzować pełną kwotę zamówienia?"
"View Transaction Details", "Zobacz szczegóły transakcji"
"Reference Information", "Informacje referencji"
"Transaction Information", "Informacje o transakcji"
"PayPal Fee Information", "Informacje o opłatach PayPal"
"PayPal Settlement Reports", "Raporty dotyczące rozliczeń PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?", "Łączenie z PayPal SFTP serwer do pobierania nowych raportów. Czy na pewno chcesz kontynuować?"
"Fetch Updates", "Pobierz aktualizacje"
"sandbox_button_label", "sandbox_button_label"
"Help", "Pomoc"
"View Demo", "Zobacz demo"
"See terms", "Zobacz regulamin"
"You will be redirected to the PayPal website.", "Zostaniesz przekierowany na stronę PayPal."
"You will be redirected to the PayPal website when you place an order.", "Po złożeniu zamówienia zostaniesz przekierowany na stronę PayPal."
"Invalid block type", "Nieprawidłowy typ bloku"
"Please specify the correct billing agreement ID and try again.", "Proszę określić poprawny identyfikator umowy rozliczeniowej i spróbować ponownie."
"You canceled the billing agreement.", "Anulowano umowę rozliczeniową."
"We can't cancel the billing agreement.", "Nie możemy anulować umowy rozliczeniowej."
"You deleted the billing agreement.", "Usunąłeś umowę rozliczeniową."
"We can't delete the billing agreement.", "Nie można usunąć umowy rozliczeniowej."
"Payment authorization has been successfully created.", "Autoryzacja płatności została pomyślnie utworzona."
"Unable to make payment authorization.", "Nie można dokonać autoryzacji płatności."
"View Transaction", "Zobacz transakcję"
"We found nothing to fetch because of an empty configuration.", "Nie znaleźliśmy nic do pobrania ze względu na pustą konfigurację."
"We fetched %1 report rows from ""%2@%3.""", "Pobrane wiersze raportu %1 z ""%2@%3."""
"We can't fetch reports from ""%1@%2.""", "Nie można pobrać raportu z ""%1@%2."""
"The billing agreement ""%1"" has been canceled.", "Umowa rozliczeniowa ""%1"" została anulowana."
"The billing agreement ""%1"" has been created.", "Umowa rozliczeniowa ""%1"" została utworzona."
"We couldn't finish the billing agreement wizard.", "Nie możemy zakończyć kreatora umowy płatności."
"We can't start the billing agreement wizard.", "Nie możemy uruchomić kreatora umowy rozliczeniowej."
"Billing Agreement # %1", "Umowa rozliczeniowa nr %1"
"We can't initialize Express Checkout.", "Nie możemy zainicjować Ekspresowej Realizacji."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.", "PayPal nie przetwarza zamówień z zerowym saldem należności. Aby zakończyć zakupu, proszę przejść przez standardowy proces."
"PayPal Express Checkout Token does not exist.", "Token PayPal Express Checkout nie istnieje."
"A wrong PayPal Express Checkout Token is specified.", "Określono nieprawidłowy token PayPal Express Checkout."
"Express Checkout and Order have been canceled.", "Express Checkout i zamówienie zostały anulowane."
"Express Checkout has been canceled.", "Express Checkout został anulowany."
"Unable to cancel Express Checkout", "Nie można anulować zamówienia Express"
"We can't process Express Checkout approval.", "Nie możemy przetworzyć zgody Ekspresowej Realizacji."
"We can't initialize Express Checkout review.", "Nie możemy zainicjować opinii Ekspresowej Realizacji."
"We can't start Express Checkout.", "Nie możemy uruchomić Ekspresowej Realizacji."
"To check out, please sign in with your email address.", "Aby sprawdzić, Proszę zaloguj się przy użyciu adresu e-mail."
"Requested payment method does not match with order.", "Żądana metoda płatności jest niezgodna z zamówieniem."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?", "Czy chcesz podpisać umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal?"
"The payment couldn't be processed at this time. Please try again later.", "W tej chwili nie można przetworzyć płatności. Spróbuj ponownie później."
"Authorization is not allowed.", "Autoryzacja jest niedozwolona."
"Payment Gateway is unreachable at the moment. Please use another payment option.", "Bramka płatności jest nieosiągalna w tej chwili. Proszę użyć innej opcji płatności."
"PayPal response hasn't required fields.", "Odpowiedź PayPal nie zawiera wymaganych pól."
"Something went wrong while processing your order.", "Coś poszło nie tak podczas przetwarzania Twojego zamówienia."
"PayPal gateway has rejected request. %1", "Bramka PayPal odrzuciła żądanie. %1"
"The PayPal gateway rejected the request. %1", "Brama PayPal odrzucił żądanie. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.", "Przepraszamy - ale nie byliśmy w stanie przetwarzać płatności. Proszę spróbować innej metody płatności lub skontaktuj się z nami, możemy pomóc."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.", "Przepraszamy - ale nie jesteśmy w stanie ukończyć transakcji. Skontaktuj się z nami, więc możemy pomóc."
"A successful payment transaction has already been completed. Please, check if the order has been placed.", "Udana transakcja płatnicza została już zakończona. Prosimy o sprawdzenie czy zamówienie zostało złożone."
"A match of the Shipping Address City, State, and Postal Code failed.", "Nie udało się dopasować adresu wysyłki: miasta, ulicy i numeru pocztowego."
"The payment method code is not set.", "Kod metody płatności nie jest ustawiony."
"The reference ID is not set.", "Identyfikator referencji nie jest ustawiony."
"Unable to save Billing Agreement:", "Nie można zapisać umory rozliczeniowej:"
"The customer ID is not set.", "Identyfikator klienta nie jest ustawiony."
"The Billing Agreement status is not set.", "Stan umowy rozliczeniowej nie jest ustawiony."
"The PayPal certificate does not exist.", "Certyfikat PayPal nie istnieje."
"We prefer PayPal (150 X 60)", "Preferujemy PayPal (150 x 60)"
"We prefer PayPal (150 X 40)", "Preferujemy PayPal (150 x 40)"
"Now accepting PayPal (150 X 60)", "Akceptujemy teraz PayPal (150 x 60)"
"Now accepting PayPal (150 X 40)", "Akceptujemy teraz PayPal (150 x 40)"
"Payments by PayPal (150 X 60)", "Płatności PayPal (150 x 60)"
"Payments by PayPal (150 X 40)", "Płatności PayPal (150 x 40)"
"Shop now using (150 X 60)", "Kupuj teraz używając (150 x 60)"
"Shop now using (150 X 40)", "Kupuj teraz używając (150 x 40)"
"Shortcut", "Skrót"
"Acceptance Mark Image", "Obrazek znaku akceptacji"
"Authorization", "Autoryzacja"
"For Virtual Quotes Only", "Tylko dla wirtualnych ofert"
"Auto", "Auto"
"Ask Customer", "Zapytaj klienta"
"IPN (Instant Payment Notification) Only", "Tylko IPN (Natychmiastowe Powiadomienie o Płatności) "
"API Signature", "Podpis API"
"API Certificate", "Certyfikat API"
"The maximum number of child authorizations is reached.", "Osiągnięto maksymalną liczbę autoryzacji podrzędnych."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.", "Autoryzacja ilości %1 od razu jak bramka płatności go zatwierdzi."
"The authorized amount is %1.", "Autoryzacja ilości %1."
"A payer is not identified.", "Zleceniodawca nie jest zidentyfikowany."
"Cannot get secure form URL from PayPal", "Nie można uzyskać adresu URL bezpiecznego formularza z PayPal"
"Last Transaction ID", "Ostatnie ID transakcji"
"This customer didn't include a confirmed address.", "Klient nie załączył potwierdzonego adresu."
"The payment is authorized but not settled.", "Płatność jest autoryzowana, ale nierozliczona."
"The payment eCheck is not cleared.", "eCheck płatności nie jest czyszczony."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.", "Handlowiec posiada konto z poza USA i nie ma mechanizmu wycofywania."
"The payment currency doesn't match any of the merchant's balances currency.", "Waluta płatności nie pasuje do żadnej z walut z sald sprzedwacy."
"The payment is pending while it is being reviewed by PayPal for risk.", "Płatność jest w toku i jest sprawdzana przez PayPal pod kątem ryzyka."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.", "Płatność jest w toku, ponieważ została dokonana na adres e-mail, który nie został jeszcze zarejestrowany ani potwierdzony."
"The merchant account is not yet verified.", "Konto handlowca nie jest zweryfikowane."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.", "Płatność została dokonana kartą kredytową. Aby otrzymać środki, sprzedawca musi uaktualnić konto do statusu Business lub Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.", "Przepraszamy, ale coś poszło nie tak. Proszę skontaktować się z obsługa klienta PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.", "Ta transakcja została wycofana z powodu obciążenia zwrotnego dokonanego przez klienta."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.", "W przypadku tej transakcji nastąpiło cofnięcie, ponieważ klient uruchomił gwarancję zwrotu pieniędzy."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.", "W przypadku tej transakcji doszło do cofnięcia z powodu skargi dotyczącej transakcji od Twojego klienta."
"A reversal has occurred on this transaction because you have given the customer a refund.", "W przypadku tej transakcji nastąpiło cofnięcie, ponieważ przyznałeś klientowi zwrot pieniędzy."
"Reversal of an adjustment.", "Odwrócenie korekty."
"Transaction reversal due to fraud detected by PayPal administrators.", "Cofnięcie transakcji z powodu oszustwa wykrytego przez administratorów PayPal."
"Transaction reversal by PayPal administrators.", "Cofnięcie transakcji przez administratorów PayPal."
"Reimbursement for a chargeback.", "Zwrot kosztów obciążenia zwrotnego."
"Settlement of a chargeback.", "Rozliczenie obciążenia zwrotnego."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.", "Wystąpiło cofnięcie tej transakcji z powodu sporu z klientem podejrzewającego nieautoryzowane podszywanie się."
"Buyer claims that he did not receive goods or service.", "Kupujący twierdzi, że nie otrzymał towaru lub usługi."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.", "Kupujący twierdzi, iż towary lub usługi które otrzymał, różnią się od opisu dostarczonego przez sprzedawcę."
"Buyer claims that he/she did not authorize transaction.", "Kupujący twierdzi, że nie autoryzował transakcji."
"A case that has been resolved and close requires a reimbursement.", "Sprawa zakończona i zamknięta wymaga zwrotu kosztów. "
"Buyer claims that a possible duplicate payment was made to the merchant.", "Kupujący twierdzi, że potencjalna zduplikowana płatność została dokonana na rzecz handlowca."
